"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-03-13;"6M";-0.43%
"8263";APV;2023-03-13;"1Y";-2.24%
"8263";APV;2023-03-13;YTD;"0.03%"
"8263";APV;2023-03-14;"1M";"0.06%"
"8263";APV;2023-03-14;"3M";-0.34%
"8263";APV;2023-03-14;"6M";-0.54%
"8263";APV;2023-03-14;"1Y";-2.20%
"8263";APV;2023-03-14;YTD;-0.06%
"8263";APV;2023-03-15;"1M";"0.23%"
"8263";APV;2023-03-15;"3M";-0.17%
"8263";APV;2023-03-15;"6M";-0.39%
"8263";APV;2023-03-15;"1Y";-1.76%
"8263";APV;2023-03-15;YTD;"0.02%"
"8263";APV;2023-03-16;"1M";"0.23%"
"8263";APV;2023-03-16;"3M";-0.08%
"8263";APV;2023-03-16;"6M";-0.39%
"8263";APV;2023-03-16;"1Y";-1.68%
"8263";APV;2023-03-16;YTD;"0.01%"
"8263";APV;2023-03-17;"1M";"0.22%"
"8263";APV;2023-03-17;"3M";"0.01%"
"8263";APV;2023-03-17;"6M";-0.31%
"8263";APV;2023-03-17;"1Y";-1.51%
"8263";APV;2023-03-17;YTD;"0.11%"
"8263";APV;2023-03-18;"1M";"0.22%"
"8263";APV;2023-03-18;"3M";"0.01%"
"8263";APV;2023-03-18;"6M";-0.30%
"8263";APV;2023-03-18;"1Y";-1.45%
"8263";APV;2023-03-18;YTD;"0.12%"
"8263";APV;2023-03-19;"1M";"0.22%"
"8263";APV;2023-03-19;"3M";"0.21%"
"8263";APV;2023-03-19;"6M";-0.30%
"8263";APV;2023-03-19;"1Y";-1.45%
"8263";APV;2023-03-19;YTD;"0.13%"
"8263";APV;2023-03-20;"1M";"0.25%"
"8263";APV;2023-03-20;"3M";"0.33%"
"8263";APV;2023-03-20;"6M";-0.28%
"8263";APV;2023-03-20;"1Y";-1.37%
"8263";APV;2023-03-20;YTD;"0.22%"
"8263";APV;2023-03-21;"1M";"0.34%"
"8263";APV;2023-03-21;"3M";"0.51%"
"8263";APV;2023-03-21;"6M";-0.10%
"8263";APV;2023-03-21;"1Y";-1.33%
"8263";APV;2023-03-21;YTD;"0.24%"
"8263";APV;2023-03-22;"1M";"0.25%"
"8263";APV;2023-03-22;"3M";"0.37%"
"8263";APV;2023-03-22;"6M";"0.14%"
"8263";APV;2023-03-22;"1Y";-1.37%
"8263";APV;2023-03-22;YTD;"0.13%"
"8263";APV;2023-03-23;"1M";"0.49%"
"8263";APV;2023-03-23;"3M";"0.66%"
"8263";APV;2023-03-23;"6M";"0.53%"
"8263";APV;2023-03-23;"1Y";-1.21%
"8263";APV;2023-03-23;YTD;"0.36%"
"8263";APV;2023-03-24;"1M";"0.52%"
"8263";APV;2023-03-24;"3M";"0.82%"
"8263";APV;2023-03-24;"6M";"0.69%"
"8263";APV;2023-03-24;"1Y";-1.07%
"8263";APV;2023-03-24;YTD;"0.52%"
"8263";APV;2023-03-25;"1M";"0.52%"
"8263";APV;2023-03-25;"3M";"0.82%"
"8263";APV;2023-03-25;"6M";"0.69%"
"8263";APV;2023-03-25;"1Y";-1.04%
"8263";APV;2023-03-25;YTD;"0.53%"
"8263";APV;2023-03-26;"1M";"0.52%"
"8263";APV;2023-03-26;"3M";"0.91%"
"8263";APV;2023-03-26;"6M";"1.19%"
"8263";APV;2023-03-26;"1Y";-1.04%
"8263";APV;2023-03-26;YTD;"0.54%"
"8263";APV;2023-03-27;"1M";"0.30%"
"8263";APV;2023-03-27;"3M";"0.70%"
"8263";APV;2023-03-27;"6M";"1.57%"
"8263";APV;2023-03-27;"1Y";-1.20%
"8263";APV;2023-03-27;YTD;"0.39%"
"8263";APV;2023-03-28;"1M";"0.46%"
"8263";APV;2023-03-28;"3M";"0.80%"
"8263";APV;2023-03-28;"6M";"2.13%"
"8263";APV;2023-03-28;"1Y";-0.82%
"8263";APV;2023-03-28;YTD;"0.62%"
"8263";APV;2023-03-29;"1M";"0.48%"
"8263";APV;2023-03-29;"3M";"0.74%"
"8263";APV;2023-03-29;"6M";"2.32%"
"8263";APV;2023-03-29;"1Y";-0.91%
"8263";APV;2023-03-29;YTD;"0.64%"
"8263";APV;2023-03-30;"1M";"0.80%"
"8263";APV;2023-03-30;"3M";"0.96%"
"8263";APV;2023-03-30;"6M";"2.57%"
"8263";APV;2023-03-30;"1Y";-0.70%
"8263";APV;2023-03-30;YTD;"0.96%"
"8263";APV;2023-03-31;"1M";"0.82%"
"8263";APV;2023-03-31;"3M";"0.97%"
"8263";APV;2023-03-31;"6M";"2.59%"
"8263";APV;2023-03-31;"1Y";-1.04%
"8263";APV;2023-03-31;YTD;"0.98%"
"8263";APV;2023-04-01;"1M";"0.95%"
"8263";APV;2023-04-01;"3M";"0.97%"
"8263";APV;2023-04-01;"6M";"2.59%"
"8263";APV;2023-04-01;"1Y";-1.19%
"8263";APV;2023-04-01;YTD;"0.99%"
"8263";APV;2023-04-02;"1M";"1.04%"
"8263";APV;2023-04-02;"3M";"0.97%"
"8263";APV;2023-04-02;"6M";"2.59%"
"8263";APV;2023-04-02;"1Y";-1.19%
"8263";APV;2023-04-02;YTD;"1.00%"
"8263";APV;2023-04-03;"1M";"1.27%"
"8263";APV;2023-04-03;"3M";"1.29%"
"8263";APV;2023-04-03;"6M";"2.82%"
"8263";APV;2023-04-03;"1Y";-1.02%
"8263";APV;2023-04-03;YTD;"1.18%"
"8263";APV;2023-04-04;"1M";"1.17%"
"8263";APV;2023-04-04;"3M";"1.07%"
"8263";APV;2023-04-04;"6M";"2.86%"
"8263";APV;2023-04-04;"1Y";-1.24%
"8263";APV;2023-04-04;YTD;"1.08%"
"8263";APV;2023-04-05;"1M";"1.05%"
"8263";APV;2023-04-05;"3M";"0.98%"
"8263";APV;2023-04-05;"6M";"3.05%"
"8263";APV;2023-04-05;"1Y";-1.47%
"8263";APV;2023-04-05;YTD;"0.97%"
"8263";APV;2023-04-06;"1M";"1.49%"
"8263";APV;2023-04-06;"3M";"1.45%"
"8263";APV;2023-04-06;"6M";"3.77%"
"8263";APV;2023-04-06;"1Y";-1.10%
"8263";APV;2023-04-06;YTD;"1.36%"
"8263";APV;2023-04-07;"1M";"1.44%"
"8263";APV;2023-04-07;"3M";"1.45%"
"8263";APV;2023-04-07;"6M";"3.71%"
"8263";APV;2023-04-07;"1Y";-1.10%
"8263";APV;2023-04-07;YTD;"1.37%"
"8263";APV;2023-04-08;"1M";"1.67%"
"8263";APV;2023-04-08;"3M";"1.45%"
"8263";APV;2023-04-08;"6M";"3.71%"
"8263";APV;2023-04-08;"1Y";-1.60%
"8263";APV;2023-04-08;YTD;"1.38%"
"8263";APV;2023-04-09;"1M";"1.87%"
"8263";APV;2023-04-09;"3M";"1.42%"
"8263";APV;2023-04-09;"6M";"3.71%"
"8263";APV;2023-04-09;"1Y";-1.60%
"8263";APV;2023-04-09;YTD;"1.38%"
"8263";APV;2023-04-10;"1M";"1.62%"
"8263";APV;2023-04-10;"3M";"1.19%"
"8263";APV;2023-04-10;"6M";"3.54%"
"8263";APV;2023-04-10;"1Y";-1.77%
"8263";APV;2023-04-10;YTD;"1.22%"
"8263";APV;2023-04-11;"1M";"1.49%"
"8263";APV;2023-04-11;"3M";"0.87%"
"8263";APV;2023-04-11;"6M";"3.30%"
"8263";APV;2023-04-11;"1Y";-2.03%
"8263";APV;2023-04-11;YTD;"1.10%"
"8263";APV;2023-04-12;"1M";"1.31%"
"8263";APV;2023-04-12;"3M";"0.51%"
"8263";APV;2023-04-12;"6M";"3.10%"
"8263";APV;2023-04-12;"1Y";-2.17%
"8263";APV;2023-04-12;YTD;"0.93%"
"8263";APV;2023-04-13;"1M";"0.67%"
"8263";APV;2023-04-13;"3M";"0.32%"
"8263";APV;2023-04-13;"6M";"2.78%"
"8263";APV;2023-04-13;"1Y";-2.65%
"8263";APV;2023-04-13;YTD;"0.71%"
"8263";APV;2023-04-14;"1M";"0.76%"
"8263";APV;2023-04-14;"3M";"0.30%"
"8263";APV;2023-04-14;"6M";"2.68%"
"8263";APV;2023-04-14;"1Y";-2.92%
"8263";APV;2023-04-14;YTD;"0.69%"
"8263";APV;2023-04-15;"1M";"0.68%"
"8263";APV;2023-04-15;"3M";"0.30%"
"8263";APV;2023-04-15;"6M";"2.68%"
"8263";APV;2023-04-15;"1Y";-2.92%
"8263";APV;2023-04-15;YTD;"0.70%"
"8263";APV;2023-04-16;"1M";"0.69%"
"8263";APV;2023-04-16;"3M";"0.28%"
"8263";APV;2023-04-16;"6M";"2.68%"
"8263";APV;2023-04-16;"1Y";-2.91%
"8263";APV;2023-04-16;YTD;"0.71%"
"8263";APV;2023-04-17;"1M";"0.39%"
"8263";APV;2023-04-17;"3M";"0.05%"
"8263";APV;2023-04-17;"6M";"2.31%"
"8263";APV;2023-04-17;"1Y";-3.12%
"8263";APV;2023-04-17;YTD;"0.49%"
"8263";APV;2023-04-18;"1M";"0.30%"
"8263";APV;2023-04-18;"3M";-0.01%
"8263";APV;2023-04-18;"6M";"2.26%"
"8263";APV;2023-04-18;"1Y";-3.08%
"8263";APV;2023-04-18;YTD;"0.42%"
"8263";APV;2023-04-19;"1M";"0.07%"
"8263";APV;2023-04-19;"3M";-0.21%
"8263";APV;2023-04-19;"6M";"2.19%"
"8263";APV;2023-04-19;"1Y";-3.38%
"8263";APV;2023-04-19;YTD;"0.20%"
"8263";APV;2023-04-20;"1M";-0.14%
"8263";APV;2023-04-20;"3M";-0.26%
"8263";APV;2023-04-20;"6M";"2.16%"
"8263";APV;2023-04-20;"1Y";-3.39%
"8263";APV;2023-04-20;YTD;"0.07%"
"8263";APV;2023-04-21;"1M";-0.24%
"8263";APV;2023-04-21;"3M";-0.35%
"8263";APV;2023-04-21;"6M";"1.90%"
"8263";APV;2023-04-21;"1Y";-3.33%
"8263";APV;2023-04-21;YTD;"0.00%"
"8263";APV;2023-04-22;"1M";-0.13%
"8263";APV;2023-04-22;"3M";-0.35%
"8263";APV;2023-04-22;"6M";"1.90%"
"8263";APV;2023-04-22;"1Y";-3.29%
"8263";APV;2023-04-22;YTD;"0.01%"
"8263";APV;2023-04-23;"1M";-0.35%
"8263";APV;2023-04-23;"3M";-0.41%
"8263";APV;2023-04-23;"6M";"1.90%"
"8263";APV;2023-04-23;"1Y";-3.28%
